Identifiant_de_l_etablissement;Nom_etablissement;Type_etablissement;Statut_public_prive;Telephone;Web;Mail;Segpa;Lycee_Agricole;Lycee_militaire;Lycee_des_metiers;Type_contrat_prive;code_nature;Code_type_contrat_prive
0133397X;Collège la Chesneraie;Collège;Privé;04 42 92 11 55;http://www.chesneraie.org;secretariat@chesneraie.org;0;0;0;0;CONTRAT D'ASSOCIATION TOUTES CLASSES;340;30
0350877N;Collège Saint-Joseph;Collège;Privé;02 99 48 62 15;http://college-stjoseph-plf.org;ce.0350877N@ac-rennes.fr;0;0;0;0;CONTRAT D'ASSOCIATION TOUTES CLASSES;340;30
0631080G;Collège Notre-Dame;Collège;Privé;04 73 68 40 26;http://www.ecole-college-notredame-billom.com;ce.0631080G@ac-clermont.fr;0;0;0;0;CONTRAT D'ASSOCIATION TOUTES CLASSES;340;30
0560153M;Collège Sainte-Thérèse;Collège;Privé;02 97 41 69 89;;ce.0560153M@ac-rennes.fr;0;0;0;0;CONTRAT D'ASSOCIATION TOUTES CLASSES;340;30
0631109N;Collège Jeanne d'Arc;Collège;Privé;04 73 85 02 08;http://www.ecole-college-jeannedarc.com/;ce.0631109N@ac-clermont.fr;0;0;0;0;CONTRAT D'ASSOCIATION TOUTES CLASSES;340;30
0921906X;Collège Sophie Barat;Collège;Privé;01 41 13 47 00;https://www.sophiebarat.net/;0921906X@ac-versailles.fr;0;0;0;0;CONTRAT D'ASSOCIATION TOUTES CLASSES;340;30
0170120N;Collège privé Jeanne d'Arc-Notre Dame;Collège;Privé;05 46 07 02 03;http://www.jeannedarc-ecole-college-prive-surgeres.com/;secretariat@jeannedarcsurgeres.fr;0;0;0;0;CONTRAT D'ASSOCIATION TOUTES CLASSES;340;30
0680136D;Collège privé Sainte-Ursule;Collège;Privé;03 89 44 57 25;http://www.sainte-ursule.org;ce.0680136d@ac-strasbourg.fr;0;0;0;0;CONTRAT D'ASSOCIATION TOUTES CLASSES;340;30
0641702C;Collège Ikastola Xalbador;Collège;Privé;05 59 29 87 76;http://xalbador-kolegioa.eus/;ce.0641702c@ac-bordeaux.fr;0;0;0;0;CONTRAT D'ASSOCIATION TOUTES CLASSES;340;30
9830392J;Collège privé de Taremen (ASEE);Collège;Privé;00 687 45 42 91;;taremendir@mls.nc;0;0;0;0;CONTRAT D'ASSOCIATION TOUTES CLASSES;340;30
9830272D;Lycée professionnel privé François-d'Assise;Lycée;Privé;00 687 44 13 76;https://lpfabrl.nc/;contact@lpfa.nc;0;0;0;0;CONTRAT D'ASSOCIATION TOUTES CLASSES;320;30
9840161C;Collège - Lycée du Sacré-Coeur de Taravao;Collège;Privé;689 54 70 40;;diretab@sct.ddec.edu.pf;0;0;0;0;CONTRAT D'ASSOCIATION TOUTES CLASSES;340;30
9830263U;Collège privé Marie-Reine Thabor (DDEC);Collège;Privé;00 687 43 51 05;;dir.col.mrthabor@ddec.nc;0;0;0;0;CONTRAT D'ASSOCIATION TOUTES CLASSES;340;30
9830298G;Collège privé Francis Rougé (DDEC);Collège;Privé;00 687 44 52 25;;dir.col.frouge@ddec.nc;0;0;0;0;CONTRAT D'ASSOCIATION TOUTES CLASSES;340;30
9830472W;Collège privé de Mou (FELP);Collège;Privé;00 687 42 80 91;;;0;0;0;0;CONTRAT D'ASSOCIATION TOUTES CLASSES;340;30
9830260R;Collège privé Saint-Joseph de Cluny (DDEC);Collège;Privé;00 687 26 15 43;https://colcluny.ddec.nc/;dir.col.sjcluny@ddec.nc;0;0;0;0;CONTRAT D'ASSOCIATION TOUTES CLASSES;340;30
9830400T;Collège privé de Hnathalo (DDEC);Collège;Privé;00 687 45 12 75;http://www.ddec.nc/;dir.col.nathalo@ddec.nc;0;0;0;0;CONTRAT D'ASSOCIATION TOUTES CLASSES;340;30
0754853T;Collège privé Georges Leven;Collège;Privé;01 44 73 80 60;http://www.levenaiu.org/;aiu.leven@wanadoo.fr;0;0;0;0;CONTRAT D'ASSOCIATION TOUTES CLASSES;340;30
0680159D;Lycée professionnel privé Saint-Joseph de Cluny;Lycée;Privé;03 89 45 35 65;http://www.lyceecluny-mulhouse.fr;secretariat@lyceecluny-mulhouse.fr;0;0;0;0;CONTRAT D'ASSOCIATION TOUTES CLASSES;320;30
0221676C;Lycée professionnel agricole Xavier Grall;Lycée;Privé;02 96 28 03 43;http://www.lyceexaviergrall.fr;loudeac@cneap.fr;0;1;0;0;SOUS CONTRAT ETABLISSEMENT AGRICOLE;320;60
0690621A;Collège Saint-Sébastien;Collège;Privé;04 78 45 81 56;https://ndvallons.fr/college-saint-sebastien/;secretariat@ndvallons.fr;0;0;0;0;CONTRAT D'ASSOCIATION TOUTES CLASSES;340;30
0351930H;Lycée polyvalent La Providence;Lycée;Privé;02 99 06 44 39;https://lapro-montauban35.com;montauban-de-bretagne@cneap.fr;0;0;0;0;CONTRAT D'ASSOCIATION TOUTES CLASSES;306;30
0692934P;Collège les Chartreux - Saint-Charles;Collège;Privé;04 78 29 87 09;https://www.leschartreux.com/nos-colleges/chartreux-saint-charles;infocontact@leschartreux.net;0;0;0;0;CONTRAT D'ASSOCIATION TOUTES CLASSES;340;30
0440255N;Lycée professionnel ENCIA;Lycée;Privé;02 40 48 40 24;http://www.encia.fr;admin@encia.fr;0;0;0;1;CONTRAT D'ASSOCIATION TOUTES CLASSES;320;30
0440151A;Lycée Saint-Joseph;Lycée;Privé;02 40 28 15 25;http://stjo-chateaubriant.com;administration@stjo-chateaubriant.fr;0;0;0;0;CONTRAT D'ASSOCIATION TOUTES CLASSES;300;30
0700065R;Collège privé Sainte-Anne Saint-Joseph;Collège;Privé;03 84 89 00 80;http://www.steanne-stjoseph.fr/#Accueil.A;ce.0700065r@ac-besancon.fr;0;0;0;0;CONTRAT D'ASSOCIATION TOUTES CLASSES;340;30
0451330B;Collège privé Saint-Louis;Collège;Privé;02 38 95 06 30;http://www.saintlouis-montargis.com;ce.0451330b@ac-orleans-tours.fr;0;0;0;0;CONTRAT D'ASSOCIATION TOUTES CLASSES;340;30
0753933T;Lycée privé Saint-Louis de Gonzague;Lycée;Privé;01 44 30 45 50;http://www.franklinparis.fr;franklin@franklinparis.com;0;0;0;0;CONTRAT D'ASSOCIATION TOUTES CLASSES;302;30
0332490C;Collège Saint-Genès La Salle (site de Bordeaux);Collège;Privé;05 56 33 84 84;http://www.saint-genes.com;ce.0332490c@ac-bordeaux.fr;0;0;0;0;CONTRAT D'ASSOCIATION TOUTES CLASSES;340;30
0150053B;Collège Saint-Joseph - La Présentation;Collège;Privé;04 71 60 04 58;https://stjoseph-notredame15.fr/resultats-du-brevet-2022;ce.0150053B@ac-clermont.fr;0;0;0;0;CONTRAT D'ASSOCIATION TOUTES CLASSES;340;30
0030081X;Collège Saint-Benoît;Collège;Privé;04 70 44 03 75;https://www.saintbenoit-moulins.fr/pp-college.html;ce.0030081X@ac-clermont.fr;0;0;0;0;CONTRAT D'ASSOCIATION TOUTES CLASSES;340;30
0700076C;Lycée professionnel privé Sainte-Anne Saint-Joseph;Lycée;Privé;03 84 89 00 90;https://www.steanne-stjoseph.org/;ste-anne-st-joseph@wanadoo.fr;0;0;0;0;CONTRAT ASSOCIATION PARTIE DES CLASSES;320;31
0783283V;Lycée l'Ermitage;Lycée;Privé;01 39 62 04 81;http://www.ermitage.fr/index.cfm;0783283V@ac-versailles.fr;0;0;0;0;CONTRAT D'ASSOCIATION TOUTES CLASSES;300;30
0921663H;Lycée Jeanne d'Arc;Lycée;Privé;01 55 66 91 00;http://www.jeanne-darc-colombes.com;0921663H@ac-versailles.fr;0;0;0;0;CONTRAT D'ASSOCIATION TOUTES CLASSES;300;30
0221749G;Collège Notre-Dame de Campostal;Collège;Privé;02 96 29 00 34;https://www.lycee-campostal-gouarec.com/formations/college/;ce.0221749G@ac-rennes.fr;0;0;0;0;CONTRAT D'ASSOCIATION TOUTES CLASSES;340;30
0931026K;Lycée polyvalent privé Protectorat Saint-Joseph;Lycée;Privé;01 48 66 10 41;http://protectorat.fr;lycee@protectorat.fr;0;0;0;0;CONTRAT D'ASSOCIATION TOUTES CLASSES;306;30
0340871M;Lycée privé La Trinité;Lycée;Privé;04 67 49 89 89;http://lyceetrinitebeziers.fr;secretariat@lyceetrinitebeziers.fr;0;0;0;0;CONTRAT D'ASSOCIATION TOUTES CLASSES;300;30
0060677D;Lycée Sasserno;Lycée;Privé;04 93 80 03 61;http://www.sasserno.fr/;ce.0060677d@ac-nice.fr;0;0;0;0;CONTRAT D'ASSOCIATION TOUTES CLASSES;300;30
0180571Y;Lycée polyvalent privé Saint-Jean-Baptiste de la Salle;Lycée;Privé;02 48 27 15 15;http://www.lasalle-bourges.net;ce.0180571y@ac-orleans-tours.fr;0;0;0;0;CONTRAT D'ASSOCIATION TOUTES CLASSES;306;30
0440221B;Collège Saint-Michel;Collège;Privé;02 40 72 49 49;https://www.ec-erdre.fr;contactcollege@ec-erdre.fr;1;0;0;0;CONTRAT D'ASSOCIATION TOUTES CLASSES;340;30
9830271C;Lycée professionnel privé Marcellin Champagnat (DDEC);Lycée;Privé;00 687 35 31 24;https://lpmc.ddec.nc/;sec.lp.mchampagnat@ddec.nc;0;0;0;0;CONTRAT D'ASSOCIATION TOUTES CLASSES;320;30
9830294C;Lycée professionnel privé Père Guéneau;Lycée;Privé;00 687 44 11 28;https://lppg.ddec.nc/;sec.lp.pgueneau@ddec.nc;0;0;0;0;CONTRAT D'ASSOCIATION TOUTES CLASSES;320;30
9720074Y;Lycée professionnel Saint-Joseph de Cluny;Lycée;Privé;05 96 70 09 99;http://www.saintjosephdecluny972.fr/;secretariat.psjc972@orange.fr;0;0;0;0;CONTRAT D'ASSOCIATION TOUTES CLASSES;320;30
9830377T;Lycée polyvalent privé Do Kamo (ASEE);Lycée;Privé;00 687 28 43 51;http://www.dokamo.nc/;secretariat@dokamo.org;0;0;0;0;CONTRAT D'ASSOCIATION TOUTES CLASSES;306;30
9830297F;Collège privé Hippolyte Bonou (DDCE);Collège;Privé;00 687 47 64 36;https://cscpouebo.ddec.nc/;dir.col.hbonou@ddec.nc;1;0;0;0;CONTRAT D'ASSOCIATION TOUTES CLASSES;340;30
0442924P;Lycée Saint-François d'Assise;Lycée;Privé;02 40 56 91 11;https://www.es-jmm-savenay.fr/lycee-saint-francois-assise-savenay/;lycee@st-fda-savenay.fr;0;0;0;0;CONTRAT D'ASSOCIATION TOUTES CLASSES;300;30
0353036K;Collège Sainte-Marie;Collège;Privé;02 99 46 17 65;http://www.college-stemarie-dinard.com;ce.0353036K@ac-rennes.fr;0;0;0;0;CONTRAT D'ASSOCIATION TOUTES CLASSES;340;30
0772953S;Collège privé Saint-Colomban;Collège;Privé;01.64.63.17.24;https://saintcolomban.eu/index.php/le-college/;ce.0772953S@ac-creteil.fr;0;0;0;0;CONTRAT D'ASSOCIATION TOUTES CLASSES;340;30
0440233P;Collège Saint-Joseph;Collège;Privé;02 40 27 21 41;http://st-brevin-les-pins.st-joseph.loire-atlantique.e-lyco.fr/;ce.0440233p@ac-nantes.fr;0;0;0;0;CONTRAT D'ASSOCIATION TOUTES CLASSES;340;30
0753840S;Lycée privé Stanislas;Lycée;Privé;01 42 84 88 00;https://www.stanislas.fr;secretariat.lycee@stanislas.fr;0;0;0;0;CONTRAT D'ASSOCIATION TOUTES CLASSES;302;30
0650067V;Lycée professionnel privé Vincent de Paul;Lycée;Privé;05 62 93 13 30;https://www.lpp-vincentdepaul.com;contact@vincent-de-paul.com;0;0;0;0;CONTRAT D'ASSOCIATION TOUTES CLASSES;320;30
0070861Y;Collège privé Saint-Louis - les Maristes;Collège;Privé;04 75 29 05 27;http://www.maristes-st-louis.com/fr/;st-louis.le.cheylard@wanadoo.fr;0;0;0;0;CONTRAT D'ASSOCIATION TOUTES CLASSES;340;30
0350857S;Collège Saint-Gilduin;Collège;Privé;02 99 73 07 83;http://www.collegesaintgilduin.org;st-gilduin@wanadoo.fr;0;0;0;0;CONTRAT D'ASSOCIATION TOUTES CLASSES;340;30
0720817X;Collège Saint-Coeur de Marie;Collège;Privé;02 43 20 11 13;http://collegestcoeurdemarie.sarthe.e-lyco.fr;st.coeur.sille@wanadoo.fr;0;0;0;0;CONTRAT D'ASSOCIATION TOUTES CLASSES;340;30
0751883P;Institut supérieur privé Clorivière;Lycée;Privé;01 47 83 42 49;https://www.cloriviere.paris;info@cloriviere.paris;0;0;0;0;CONTRAT ASSOCIATION PARTIE DES CLASSES;301;31
0752842G;Collège privé Fénelon Sainte-Marie;Collège;Privé;01 45 22 05 35;http://www.fenelonsaintemarie.org;direction@groupefenelon.org;0;0;0;0;CONTRAT D'ASSOCIATION TOUTES CLASSES;340;30
0820551D;Campus Saint-Lubin Apprentis d'Auteuil;Lycée;Privé;05 54 06 10 00;https://saint-lubin.apprentis-auteuil.org/;contact-stlubin@apprentis-auteuil.org;0;0;0;0;CONTRAT ASSOCIATION PARTIE DES CLASSES;320;31
0752906B;Collège privé Yabné;Collège;Privé;01 44 24 85 85;http://www.yabne.org;secretariat-direction@yabne.org;0;0;0;0;CONTRAT D'ASSOCIATION TOUTES CLASSES;340;30
0931844Z;Collège privé Charles Péguy;Collège;Privé;01 48 30 31 82;https://www.charles-peguy-bobigny.fr;secretariat-direction@charlespeguybobigny.fr;0;0;0;0;CONTRAT D'ASSOCIATION TOUTES CLASSES;340;30
9720615L;Lycée polyvalent de l'AMEP;Lycée;Privé;05 96 79 50 23;http://www.amep.fr;redoute@amep.fr;0;0;0;0;CONTRAT ASSOCIATION PARTIE DES CLASSES;306;31
0060753L;Collège Sainte-Thérèse;Collège;Privé;04 93 86 57 86;https://www.sainte-therese-nice.com/;ce.0060753l@ac-nice.fr;0;0;0;0;CONTRAT D'ASSOCIATION TOUTES CLASSES;340;30
0850091M;Collège Notre-Dame de l'Espérance;Collège;Privé;02 51 42 93 59;http://collegeprive-les-brouzils.fr;colndebrouzils@wanadoo.fr;0;0;0;0;CONTRAT D'ASSOCIATION TOUTES CLASSES;340;30
0911749G;Collège privé du cours secondaire d'Orsay;Collège;Privé;01 69 28 43 72;https://www.enseignement-prive.info/fiche/college-prive-du-cours-secondaire-d-orsay-orsay/ET091-27;0911749G@ac-versailles.fr;0;0;0;0;CONTRAT D'ASSOCIATION TOUTES CLASSES;340;30
0280689X;Lycée professionnel privé Françoise d'Aubigné;Lycée;Privé;02 37 23 01 84;http://www.lycee-francoise-aubigne.fr/;ce.0280689x@ac-orleans-tours.fr;0;0;0;0;CONTRAT D'ASSOCIATION TOUTES CLASSES;320;30
0921908Z;Collège Jeanne d'Arc;Collège;Privé;01 55 66 91 00;http://www.jeanne-darc-colombes.com;0921908Z@ac-versailles.fr;1;0;0;0;CONTRAT D'ASSOCIATION TOUTES CLASSES;340;30
0690599B;Collège de l'école Juive de Lyon;Collège;Privé;04 72 83 80 20;;ecole.juive.de.lyon@wanadoo.fr;0;0;0;0;CONTRAT D'ASSOCIATION TOUTES CLASSES;340;30
0350849H;Collège La Salle Saint-Joseph;Collège;Privé;02 99 96 61 53;http://stjoargentre.over-blog.com;ce.0350849H@ac-rennes.fr;0;0;0;0;CONTRAT D'ASSOCIATION TOUTES CLASSES;340;30
0340869K;Collège privé Pic La Salle;Collège;Privé;04 67 49 81 50;https://www.pic-lasalle-beziers.fr/;ce.0340869k@ac-montpellier.fr;0;0;0;0;CONTRAT D'ASSOCIATION TOUTES CLASSES;340;30
0100961R;Collège Saint-François de Sales;Collège;Privé;03 25 73 87 93;http://www.sfdstroyes.com;ce.0100961r@ac-reims.fr;0;0;0;0;CONTRAT D'ASSOCIATION TOUTES CLASSES;340;30
0500127S;Lycée technologique le Bon Sauveur;Lycée;Privé;02 33 72 53 53;https://www.ecoles-du-bon-sauveur.fr/;ce.0500127s@ac-normandie.fr;0;0;0;0;CONTRAT D'ASSOCIATION TOUTES CLASSES;301;30
0511145T;Lycée polyvalent Saint-Michel;Lycée;Privé;03 26 77 62 82;http://www.groupesaintmichel.fr/;ce.0511145t@ac-reims.fr;0;0;0;0;CONTRAT D'ASSOCIATION TOUTES CLASSES;306;30
0931764M;Lycée général privé Ohr Sarah;Lycée;Privé;01 48 45 64 21;;ce.0931970L@ac-creteil.fr;0;0;0;0;CONTRAT D'ASSOCIATION TOUTES CLASSES;340;30
0772602K;Lycée privé Sainte-Céline;Lycée;Privé;01 60 22 05 92;https://www.sainte-celine.org/;lycee-ste-celine77@wanadoo.fr;0;0;0;0;CONTRAT D'ASSOCIATION TOUTES CLASSES;302;30
0290301V;Collège Abbes Tanguy;Collège;Privé;02 98 06 00 66;https://stjoseph-stmarc.fr;ce.0290301V@ac-rennes.fr;0;0;0;0;CONTRAT D'ASSOCIATION TOUTES CLASSES;340;30
0291874E;Collège Saint-Sébastien - Les 2 rives;Collège;Privé;02 98 85 12 55;https://les-2-rives.fr/;groupescolaire@les-2-rives.fr;0;0;0;0;CONTRAT D'ASSOCIATION TOUTES CLASSES;340;30
0450107X;Lycée polyvalent privé Saint-Louis;Lycée;Privé;02 38 95 06 30;https://www.saintlouis-montargis.fr;ce.0450107x@ac-orleans-tours.fr;0;0;0;0;CONTRAT ASSOCIATION PARTIE DES CLASSES;306;31
0280967Z;Lycée agricole privé Franz Stock;Lycée;Privé;02 37 26 46 07;https://www.franz-stock.fr;mignieres@cneap.fr;0;1;0;0;SOUS CONTRAT ETABLISSEMENT AGRICOLE;320;60
0920904H;Lycée Sainte-Marie;Lycée;Privé;01 46 11 58 00;http://www.saintemarieantony.fr;lycee@ism-antony.org;0;0;0;0;CONTRAT D'ASSOCIATION TOUTES CLASSES;300;30
0271073V;Lycée professionnel privé Sainte-Agnès;Lycée;Privé;02 32 51 14 86;https://www.jdasa.fr/;ce.0271073v@ac-normandie.fr;0;0;0;0;CONTRAT D'ASSOCIATION TOUTES CLASSES;320;30
0593136N;Lycée privé Saint-Jacques;Lycée;Privé;03 28 41 98 92;http://www.stjacques-hazebrouck.com/lelycee/;ce.0593136n@ac-lille.fr;0;0;0;0;CONTRAT D'ASSOCIATION TOUTES CLASSES;300;30
0220157B;Collège Saint-Pierre;Collège;Privé;02 96 42 11 68;http://www.saint-pierre-ploeuc.fr/;ce.0220157B@ac-rennes.fr;0;0;0;0;CONTRAT D'ASSOCIATION TOUTES CLASSES;340;30
0350863Y;Collège Saint-Joseph;Collège;Privé;02 99 96 21 19;http://www.st-joseph-la-guerche.org;ce.0350863Y@ac-rennes.fr;0;0;0;0;CONTRAT D'ASSOCIATION TOUTES CLASSES;340;30
0501788X;Lycée professionnel Thomas Hélye - Centre La Bucaille;Lycée;Privé;02 33 78 14 24;http://www.lycee-thomas-helye.fr;ce.0501788x@ac-normandie.fr;0;0;0;0;CONTRAT D'ASSOCIATION TOUTES CLASSES;320;30
0292204N;Collège Diwan Jakez Riou (enseignement immersif en breton);Collège;Privé;02 98 95 57 24;https://www.diwan.bzh/fr/etablissements/skolaj-diwan-kemper;ce.0292204N@ac-rennes.fr;0;0;0;0;CONTRAT D'ASSOCIATION TOUTES CLASSES;340;30
0110052X;Collège privé Saint-Joseph Limoux;Collège;Privé;04 68 74 60 00;http://www.saintjoseph-limoux.com;limoux@cneap.fr;0;0;0;0;CONTRAT D'ASSOCIATION TOUTES CLASSES;340;30
0741219Y;Lycée Horace Bénédict de Saussure;Lycée;Privé;04 50 58 61 93;https://assomption-montblanc.com;combloux@cneap.fr;0;1;0;0;SOUS CONTRAT ETABLISSEMENT AGRICOLE;320;60
0761347B;Lycée professionnel privé Notre-Dame;Lycée;Privé;02 32 96 91 60;https://institution-fenelon-elbeuf.org/fenelon-professionnel/;lp.notredame.elbeuf@srec-hn.com;0;0;0;0;CONTRAT D'ASSOCIATION TOUTES CLASSES;320;30
0610692W;Lycée Saint-François de Sales;Lycée;Privé;02 33 82 43 00;http://www.sfsales.fr/;ce.0610692w@ac-normandie.fr;0;0;0;0;CONTRAT D'ASSOCIATION TOUTES CLASSES;306;30
0610714V;Collège Saint-Rémi;Collège;Privé;02 33 66 60 76;http://stjoseph-stremi-tinchebray.fr;ce.0610714v@ac-normandie.fr;0;0;0;0;CONTRAT D'ASSOCIATION TOUTES CLASSES;340;30
0761724L;Collège Saint-Victrice;Collège;Privé;02 35 60 23 79;http://www.saintvictrice.fr/;;0;0;0;0;CONTRAT D'ASSOCIATION TOUTES CLASSES;340;30
0761722J;Collège Saint-Joseph;Collège;Privé;02 35 93 40 42;;0761722j@ac-normandie.fr;0;0;0;0;CONTRAT D'ASSOCIATION TOUTES CLASSES;340;30
0370745J;Collège privé Christ-Roi Notre-Dame-des-Ailes;Collège;Privé;02 47 54 35 71;http://www.christ-roi.fr;ce.0370745j@ac-orleans-tours.fr;0;0;0;0;CONTRAT D'ASSOCIATION TOUTES CLASSES;340;30
0921905W;Collège Notre-Dame;Collège;Privé;01 41 13 42 42;http://www.indblr.asso.fr;0921905W@ac-versailles.fr;0;0;0;0;CONTRAT D'ASSOCIATION TOUTES CLASSES;340;30
0850084E;Collège Amiral Merveilleux du Vignaux;Collège;Privé;02 51 32 05 86;http://college-amiral.vendee.e-lyco.fr/;viescolaire.amiral85@gmail.com;0;0;0;0;CONTRAT D'ASSOCIATION TOUTES CLASSES;340;30
0921020J;Collège Saint-Joseph;Collège;Privé;01 46 02 49 82;https://www.stjoseph92.com/;0921020J@ac-versailles.fr;0;0;0;0;CONTRAT D'ASSOCIATION TOUTES CLASSES;340;30
0542449U;Collège Saint-Michel;Collège;Privé;03 83 33 40 00;https://lycee-saint-michel.fr/college/;ce.0542449@ac-nancy-metz.fr;0;0;0;0;CONTRAT D'ASSOCIATION TOUTES CLASSES;340;30
0451333E;Collège privé Saint-Paul Bourdon Blanc;Collège;Privé;02 38 78 13 80;http://www.stpaulbb.org;ce.0451333e@ac-orleans-tours.fr;0;0;0;0;CONTRAT D'ASSOCIATION TOUTES CLASSES;340;30
0761731U;Collège privé la Providence;Collège;Privé;02 35 10 42 05;http://www.laprovidencefecamp.org/;ce.0761731U@ac-normandie.fr;0;0;0;0;CONTRAT D'ASSOCIATION TOUTES CLASSES;340;30
9710988X;Cité scolaire La Persévérance - Collège;Collège;Privé;05 90 82 15 89;http://www.laperseverance.fr/;ce.9710988x@ac-guadeloupe.fr;0;0;0;0;CONTRAT ASSOCIATION PARTIE DES CLASSES;340;31
0341473S;Lycée professionnel agricole privé le Roc Blanc;Lycée;Privé;04 67 73 82 78;http://www.lycee-rocblanc-ganges.fr/;ganges@cneap.fr;0;1;0;0;SOUS CONTRAT ETABLISSEMENT AGRICOLE;320;60
0680131Y;Collège privé des Missions;Collège;Privé;03 89 68 42 42;http://www.college-des-missions-blotzheim.fr;secretariat@college-des-missions-blotzheim.fr;0;0;0;0;CONTRAT D'ASSOCIATION TOUTES CLASSES;340;30
0440422V;Collège Sainte-Anne;Collège;Privé;02 40 50 90 93;http://steanne-carquefou.loire-atlantique.e-lyco.fr/;ce.0440422v@ac-nantes.fr;0;0;0;0;CONTRAT D'ASSOCIATION TOUTES CLASSES;340;30
0440423W;Collège Saint-Joseph;Collège;Privé;02 40 07 71 47;https://www.stjoderval.fr/;secretariat@stjoderval.fr;0;0;0;0;CONTRAT D'ASSOCIATION TOUTES CLASSES;340;30
0850092N;Collège Saint-Martin;Collège;Privé;02 51 00 90 71;http://www.collegesaintmartin-benet.fr;ce.0850092n@ac-nantes.fr;0;0;0;0;CONTRAT D'ASSOCIATION TOUTES CLASSES;340;30
0560158T;Collège Sainte-Barbe;Collège;Privé;02 97 23 08 13;https://www.saintebarbe.fr;ce.0560158T@ac-rennes.fr;0;0;0;0;CONTRAT D'ASSOCIATION TOUTES CLASSES;340;30
0251061T;Collège privé Sainte-Jeanne-Antide;Collège;Privé;03 81 86 87 01;http://www.sja-sancey.com/;ce.0251061t@ac-besancon.fr;0;0;0;0;CONTRAT D'ASSOCIATION TOUTES CLASSES;340;30
0920998K;Collège Sainte-Marie;Collège;Privé;01 47 36 09 29;http://sjsm.fr;0920998K@ac-versailles.fr;0;0;0;0;CONTRAT D'ASSOCIATION TOUTES CLASSES;340;30
0921015D;Collège Saint-Pierre Saint-Jean;Collège;Privé;01 47 45 46 33;;0921015D@ac-versailles.fr;0;0;0;0;CONTRAT D'ASSOCIATION TOUTES CLASSES;340;30
0921018G;Collège Notre-Dame;Collège;Privé;01 47 51 01 89;http://www.saintcharlesnotredame-rueil.fr/;0921018G@ac-versailles.fr;0;0;0;0;CONTRAT D'ASSOCIATION TOUTES CLASSES;340;30
0690626F;Collège Mère Teresa;Collège;Privé;04 78 93 43 82;http://ecmteresa.fr/villeurbanne/college/college-mere-teresa/;secretariatcollege@ecmteresa.fr;1;0;0;0;CONTRAT D'ASSOCIATION TOUTES CLASSES;340;30
0492015Z;Lycée Sacré-Coeur La salle;Lycée;Privé;02 41 81 42 00;http://www.gscls.com;lycee@gscls.com;0;0;0;0;CONTRAT D'ASSOCIATION TOUTES CLASSES;300;30
0752918P;Collège privé Notre-Dame des Oiseaux;Collège;Privé;01 42 88 02 52;http://www.ndo.fr;notre-dame-des-oiseaux@wanadoo.fr;0;0;0;0;CONTRAT D'ASSOCIATION TOUTES CLASSES;340;30
0040461E;Collège le Sacré-Coeur;Collège;Privé;04 92 30 58 60;http://www.sacrecoeurdigne.com;sacrecoeur.secretariat@wanadoo.fr;0;0;0;0;CONTRAT D'ASSOCIATION TOUTES CLASSES;340;30
0610721C;Lycée professionnel Jeanne d'Arc;Lycée;Privé;02 33 12 26 30;http://jand-argentan.fr/;ce.0610721c@ac-normandie.fr;0;0;0;0;CONTRAT D'ASSOCIATION TOUTES CLASSES;320;30
0530874M;Collège Saint-Michel;Collège;Privé;02 43 09 64 64;https://eccg53.fr/;college.lycee@saint-michel.org;0;0;0;0;CONTRAT D'ASSOCIATION TOUTES CLASSES;340;30
0341726S;Collège privé Nazareth;Collège;Privé;04 99 58 21 21;http://www.armeedusalut.fr/etablissements/itepnazareth;;1;0;0;0;CONTRAT D'ASSOCIATION TOUTES CLASSES;340;30
0340880X;Collège privé la Providence;Collège;Privé;04 67 92 97 97;https://www.stefamille-laprovidence.fr/;la.providence.mtp@wanadoo.fr;0;0;0;0;CONTRAT D'ASSOCIATION TOUTES CLASSES;340;30
0771930E;Collège Nazareth;Collège;Privé;01 60 68 58 05;http://www.college-nazareth-voisenon.com/;college.nazareth@wanadoo.fr;0;0;0;0;CONTRAT D'ASSOCIATION TOUTES CLASSES;340;30
0831186N;Collège Maintenon;Collège;Privé;04 94 12 63 63;http://www.coursmaintenon.fr;secretariat-general@coursmaintenon.fr;0;0;0;0;CONTRAT D'ASSOCIATION TOUTES CLASSES;340;30
0650058K;Lycée général privé Peyramale Saint-Joseph;Lycée;Privé;05 62 94 26 96;http://www.peyramale-stjoseph.com;0650058k@ac-toulouse.fr;0;0;0;0;CONTRAT D'ASSOCIATION TOUTES CLASSES;302;30
0070864B;Collège privé Gabriel Longueville;Collège;Privé;04 75 49 02 66;https://lapresentation-leteil.org/;secretariat-college@gabriel-longueville.fr;0;0;0;0;CONTRAT D'ASSOCIATION TOUTES CLASSES;340;30
0690641X;Lycée professionnel Saint-Marc;Lycée;Privé;04 78 38 73 30;https://www.lyceeprosaintmarc.org/;lyceepro@centresaintmarc.org;0;0;0;0;CONTRAT D'ASSOCIATION TOUTES CLASSES;320;30
0511176B;Collège Sainte-Macre;Collège;Privé;03 26 48 01 87;https://www.saintemacre.fr/;collegesaintemacre@wanadoo.fr;0;0;0;0;CONTRAT D'ASSOCIATION TOUTES CLASSES;340;30
0132193N;Lycée professionnel Edmond Rostand;Lycée;Privé;04 91 37 43 75;http://www.provence-formation.fr/lycees/lycee-edmond-rostand;;0;0;0;1;CONTRAT D'ASSOCIATION TOUTES CLASSES;320;30
